N,P,K,temperature,humidity,ph,rainfall,label,yield
43.72,63.0,51.44,36.25,88.27,6.61,156.44,papaya,133.26
82.4,44.39,44.6,23.66,79.09,6.34,183.52,jute,51.24
75.61,51.73,21.91,19.89,61.69,6.0,103.02,maize,71.95
19.49,139.6,183.16,22.85,90.73,5.73,114.93,apple,58.28
17.16,74.45,19.86,29.01,50.66,5.88,159.66,pigeonpeas,27.45
98.48,29.77,33.39,21.92,56.33,7.49,140.5,coffee,21.39
17.82,137.86,199.28,21.83,92.52,6.74,119.73,apple,58.52
20.84,17.56,33.09,28.39,96.01,5.93,165.98,coconut,74.9
14.99,60.99,24.45,19.23,73.47,6.2,33.92,lentil,22.19
19.09,31.8,32.09,29.12,46.64,5.75,97.51,mango,75.13
99.35,13.78,39.87,28.19,99.81,6.42,20.0,muskmelon,95.08
84.42,45.74,39.04,18.86,83.81,7.21,195.3,jute,51.9
121.51,49.91,19.34,20.05,76.43,6.44,100.06,cotton,39.51
20.22,16.69,10.92,23.02,92.28,7.03,123.06,orange,60.5
20.06,16.2,47.06,22.22,81.73,6.78,106.25,pomegranate,26.93
44.15,71.28,19.66,31.52,66.0,7.29,63.23,blackgram,25.56
78.79,46.69,44.65,25.18,77.45,6.53,229.15,rice,55.92
18.41,42.0,20.73,27.15,55.44,6.52,49.27,mothbeans,21.08
97.91,14.61,49.59,29.19,99.52,6.2,20.91,muskmelon,100.55
90.61,59.17,47.45,25.43,77.2,6.6,52.56,watermelon,129.95
10.86,65.65,19.37,21.66,62.72,7.37,54.26,lentil,26.33
20.09,72.95,12.19,29.66,47.03,5.67,151.63,pigeonpeas,29.62
23.68,134.6,189.27,22.53,88.13,5.86,67.44,grapes,95.74
12.89,46.82,21.48,26.74,52.42,7.18,48.24,mothbeans,23.28
15.01,21.63,42.52,20.38,82.69,6.75,102.66,pomegranate,29.1
84.41,43.47,34.45,19.75,74.42,5.68,154.66,jute,43.15
95.74,58.37,57.17,24.71,86.28,5.64,44.28,watermelon,121.29
93.54,30.0,28.09,23.63,56.88,6.54,141.17,coffee,22.1
79.25,32.08,42.87,25.87,75.97,6.72,186.43,jute,47.58
19.96,128.72,187.28,19.89,86.62,5.45,118.68,apple,65.47
74.64,40.74,43.0,20.74,77.18,6.66,194.97,jute,42.83
18.08,17.37,13.89,21.97,93.2,6.75,103.84,orange,65.12
20.94,26.54,29.36,31.03,46.91,5.75,80.31,mango,71.93
24.61,69.74,16.59,23.06,18.46,5.84,120.91,kidneybeans,32.18
92.05,56.07,55.51,21.86,87.67,6.8,46.58,watermelon,127.27
17.97,72.31,12.4,24.26,45.05,5.92,156.7,pigeonpeas,26.07
123.85,35.66,15.41,22.3,79.09,7.53,74.99,cotton,40.61
13.6,15.78,9.26,19.76,92.24,7.49,103.5,orange,58.97
121.06,55.67,45.57,24.76,79.74,6.59,45.59,watermelon,125.15
106.47,22.16,50.57,27.5,90.38,5.98,20.0,muskmelon,116.09
117.77,45.4,20.1,18.17,74.82,6.99,70.25,cotton,38.56
16.56,60.39,23.82,23.13,18.8,6.2,99.35,kidneybeans,28.28
38.21,64.32,72.46,12.94,23.2,6.83,87.2,chickpea,26.67
45.44,59.67,12.63,25.91,63.22,7.37,77.29,blackgram,24.97
17.75,74.34,16.57,23.17,60.45,6.43,57.26,lentil,23.97
84.28,53.67,34.47,24.35,82.1,6.7,206.14,jute,45.72
9.14,21.85,38.94,19.31,91.64,6.55,109.0,pomegranate,31.21
105.43,21.11,44.84,30.27,97.04,6.3,27.19,muskmelon,84.16
21.93,13.63,36.62,24.43,91.87,5.76,169.06,coconut,91.31
100.34,82.65,54.41,25.33,76.05,5.86,104.59,banana,180.9
92.62,18.14,50.92,30.63,91.06,6.31,22.27,muskmelon,110.19
107.41,86.34,44.66,27.77,85.61,6.11,96.76,banana,201.03
74.81,47.77,24.43,25.19,66.17,5.32,99.86,maize,71.41
20.43,71.54,16.23,24.83,70.15,7.11,39.43,lentil,26.91
24.45,138.58,205.0,25.87,79.24,5.57,59.01,grapes,88.16
103.61,29.94,27.1,25.71,55.96,6.68,181.0,coffee,22.47
38.1,67.58,79.04,19.51,17.2,7.48,82.79,chickpea,28.66
18.29,46.54,15.82,29.11,77.52,6.74,45.97,mungbean,24.24
19.47,54.48,14.68,27.49,64.99,7.6,55.03,lentil,25.13
41.68,65.28,22.53,27.21,63.93,6.74,56.38,blackgram,23.44
84.12,85.34,50.76,30.26,81.67,6.65,91.55,banana,205.97
90.38,39.94,38.33,21.51,85.59,7.64,178.72,jute,41.63
17.55,26.65,32.3,30.32,58.32,5.97,103.58,mango,69.85
21.34,49.97,19.7,29.29,55.57,6.81,43.3,mothbeans,23.8
22.35,46.09,24.27,27.35,46.33,7.04,43.47,mothbeans,23.72
96.63,57.11,50.91,26.18,88.72,6.47,59.68,watermelon,132.22
39.59,65.91,18.29,23.96,61.85,7.19,57.03,blackgram,23.25
20.11,18.5,13.06,22.86,89.61,7.14,127.13,orange,69.69
94.51,57.19,54.75,24.36,84.95,6.2,36.69,watermelon,108.36
20.54,124.66,205.0,19.64,92.31,6.37,117.38,apple,67.16
19.06,140.4,205.0,19.45,87.7,7.09,113.37,apple,61.15
111.11,35.39,30.75,28.22,55.15,6.51,173.81,coffee,23.89
45.79,66.91,16.24,25.67,58.27,6.51,51.06,blackgram,23.52
109.79,54.6,50.33,26.59,82.15,6.74,62.8,watermelon,125.73
118.36,42.42,18.53,19.98,73.91,7.49,67.47,cotton,39.93
79.67,57.0,23.48,23.13,60.48,5.53,89.74,maize,70.64
37.04,66.28,18.29,27.07,56.83,7.22,70.91,blackgram,26.66
23.57,136.7,205.0,20.77,78.61,5.06,73.89,grapes,116.04
38.14,65.45,74.14,19.45,14.0,6.73,80.83,chickpea,28.91
23.38,123.62,194.37,23.44,84.69,5.62,65.89,grapes,104.54
19.04,16.49,30.83,29.0,96.17,6.39,173.27,coconut,84.23
98.9,87.31,47.6,30.33,79.87,5.48,107.53,banana,192.9
22.77,41.84,23.86,28.3,88.0,6.89,42.83,mungbean,25.12
20.6,35.97,17.05,30.16,42.15,7.07,52.01,mothbeans,20.36
113.1,44.77,18.03,24.37,83.45,6.55,60.08,cotton,39.91
24.36,71.98,15.31,19.52,18.33,5.36,111.64,kidneybeans,30.89
118.29,47.93,24.44,19.92,77.1,7.03,103.17,cotton,40.9
94.53,61.18,49.56,25.88,87.1,6.33,52.31,watermelon,120.64
17.83,16.75,27.6,24.93,94.27,6.05,193.75,coconut,84.0
22.71,141.25,191.85,21.31,84.78,5.49,57.02,grapes,100.19
12.99,134.59,192.37,22.14,91.36,6.03,123.25,apple,62.0
49.1,59.87,47.44,33.46,94.01,6.5,143.13,papaya,144.41
80.03,52.23,39.54,23.37,81.9,5.95,269.38,rice,50.09
96.07,49.43,57.27,24.99,81.92,6.44,45.04,watermelon,135.37
118.13,30.13,28.98,25.99,59.35,6.09,170.32,coffee,24.1
20.75,139.61,205.0,22.7,97.89,5.6,132.35,apple,65.4
26.61,131.08,205.0,23.99,79.4,6.42,79.86,grapes,102.66
16.77,21.56,33.84,31.69,52.04,5.79,99.71,mango,76.55
18.38,15.97,27.23,22.16,94.99,5.77,178.63,coconut,81.37
17.32,75.16,17.45,25.95,57.62,6.34,46.97,lentil,24.09
18.74,43.71,19.58,28.16,85.31,6.31,57.95,mungbean,24.8
97.23,12.74,47.6,28.93,92.23,6.22,25.4,muskmelon,102.47
17.46,16.74,32.82,26.92,96.67,5.33,175.64,coconut,78.92
20.03,11.62,9.05,24.36,92.77,7.67,111.43,orange,65.79
78.16,17.16,59.59,28.85,96.4,6.44,23.81,muskmelon,114.29
18.71,14.23,10.31,20.46,94.75,7.07,120.11,orange,70.67
21.01,66.62,18.39,24.04,54.29,5.7,120.38,pigeonpeas,27.25
18.27,130.68,180.53,24.08,87.39,5.86,108.2,apple,68.38
46.09,66.81,77.74,19.9,20.82,7.37,61.51,chickpea,28.4
39.82,65.34,17.45,30.21,70.13,6.73,54.55,blackgram,24.31
85.63,27.49,30.52,25.91,56.99,7.22,124.78,coffee,22.02
21.5,68.64,20.52,17.74,25.72,6.15,90.57,kidneybeans,33.43
17.59,12.21,28.25,25.33,96.42,5.87,175.28,coconut,88.22
36.18,61.73,72.14,18.51,17.57,7.34,73.14,chickpea,29.95
21.54,52.51,20.63,28.09,50.51,7.24,56.01,mothbeans,22.57
27.51,45.57,12.82,27.96,59.85,6.7,47.37,mothbeans,23.76
23.84,125.14,204.73,21.43,81.95,5.83,77.95,grapes,99.07
41.29,66.34,69.51,15.61,18.64,7.17,69.87,chickpea,29.74
16.5,17.18,9.03,24.18,89.67,6.71,110.24,orange,66.15
11.92,69.23,19.8,24.02,64.78,7.42,54.7,lentil,25.73
38.72,64.83,19.1,31.5,66.25,7.05,79.99,blackgram,27.81
94.08,84.03,39.76,28.68,80.37,6.42,113.72,banana,199.45
24.4,14.55,29.91,24.91,94.14,5.84,182.09,coconut,79.09
23.57,17.96,10.56,23.58,90.41,6.61,120.87,orange,68.2
80.99,42.23,41.78,23.48,80.34,6.56,239.96,rice,51.05
16.44,38.23,23.76,29.69,87.53,6.6,44.06,mungbean,24.34
18.43,14.54,28.8,29.0,95.84,6.32,180.49,coconut,93.96
22.91,122.74,202.51,21.77,81.84,5.84,75.31,grapes,113.38
20.66,53.14,15.55,28.65,50.05,7.12,58.61,mothbeans,22.76
26.33,13.83,30.3,27.33,97.07,5.91,186.96,coconut,75.76
16.29,68.28,17.15,18.74,23.73,5.28,98.65,kidneybeans,29.78
20.84,19.52,33.99,26.29,93.4,5.68,172.42,coconut,89.87
22.78,48.97,18.12,24.8,57.23,7.05,48.97,mothbeans,22.08
96.09,72.88,44.87,28.54,77.5,5.9,103.35,banana,191.95
20.67,16.13,9.31,20.02,95.77,6.46,116.51,orange,70.94
99.89,56.69,56.76,25.14,86.49,6.4,58.38,watermelon,129.06
105.74,24.86,29.95,24.43,63.21,7.09,134.96,coffee,23.25
41.19,66.05,21.46,24.37,60.55,7.11,43.12,blackgram,24.56
102.42,18.05,48.66,25.56,96.48,5.99,22.25,muskmelon,100.77
92.98,28.3,28.95,24.05,61.27,6.9,140.23,coffee,22.41
95.81,19.55,38.09,26.79,95.34,6.14,24.4,muskmelon,104.68
20.66,134.45,194.48,20.01,91.51,5.87,109.0,apple,64.44
101.88,74.04,54.72,24.08,83.03,6.12,108.93,banana,200.43
78.41,45.77,19.04,22.4,60.82,5.7,103.34,maize,63.41
108.76,13.13,48.79,29.14,91.71,6.4,26.68,muskmelon,108.13
34.92,71.87,12.09,28.65,63.39,8.04,64.01,blackgram,23.47
23.78,134.0,205.0,20.85,91.29,6.04,118.74,apple,68.96
33.03,68.83,17.36,30.67,62.92,7.01,72.98,blackgram,26.11
15.44,51.83,19.98,30.44,59.28,7.1,43.9,mothbeans,23.12
100.7,61.42,60.74,24.03,82.25,6.97,52.49,watermelon,141.6
95.83,87.68,40.47,24.49,77.11,5.82,106.76,banana,186.78
113.42,63.82,44.11,23.19,82.86,6.55,57.52,watermelon,142.3
21.6,41.88,14.42,28.77,40.51,6.53,46.9,mothbeans,22.35
81.14,43.57,42.65,22.1,79.13,6.23,213.42,rice,49.12
19.08,15.02,30.57,27.45,93.95,6.01,158.13,coconut,83.59
18.54,27.07,31.47,31.49,50.34,5.57,91.62,mango,63.77
18.72,121.24,179.28,25.12,77.61,5.87,69.1,grapes,102.38
18.04,14.65,49.16,18.65,96.02,7.02,108.41,pomegranate,28.75
18.18,68.86,22.04,21.75,14.0,5.81,119.41,kidneybeans,33.85
24.09,129.4,202.95,20.94,87.18,6.9,82.16,grapes,104.43
78.2,49.53,40.82,24.34,82.99,7.07,171.1,jute,42.65
74.15,46.11,48.53,21.86,79.73,6.47,211.56,rice,54.78
106.96,50.44,20.28,20.31,84.63,7.19,74.09,cotton,37.96
16.27,42.97,21.83,27.17,79.0,6.26,46.01,mungbean,23.99
34.72,68.54,22.81,29.89,73.54,7.23,63.97,blackgram,26.05
19.0,61.35,18.56,19.03,19.53,6.09,105.41,kidneybeans,30.25
88.48,54.54,42.06,24.92,78.8,6.16,220.52,rice,50.66
26.05,134.07,201.14,25.63,76.71,6.08,77.96,grapes,113.41
16.07,142.58,186.96,25.4,92.37,6.46,114.55,apple,71.01
21.46,15.08,44.72,20.0,89.8,6.15,83.93,pomegranate,30.72
20.69,69.0,18.64,27.45,48.29,6.07,151.1,pigeonpeas,29.63
75.35,50.13,18.95,24.78,64.24,5.76,80.53,maize,73.35
74.94,47.55,18.91,24.05,65.85,6.6,78.03,maize,70.83
19.63,125.66,191.39,22.01,87.17,6.01,111.25,apple,58.74
20.89,65.3,16.23,23.86,51.75,5.93,156.4,pigeonpeas,25.49
19.72,19.67,24.41,26.32,98.07,5.89,184.0,coconut,81.24
24.26,59.12,19.02,29.14,51.67,6.03,159.39,pigeonpeas,25.49
41.58,64.58,49.65,31.43,90.85,6.35,134.93,papaya,130.41
47.42,54.79,51.28,33.51,94.83,6.56,134.16,papaya,153.85
40.8,63.24,81.54,19.03,15.41,7.19,70.48,chickpea,28.49
20.98,17.44,14.8,23.3,91.28,6.86,117.88,orange,67.46
80.97,46.71,42.35,25.81,78.76,6.06,228.5,rice,55.43
21.64,15.22,12.15,21.88,95.66,7.16,98.32,orange,62.1
16.9,70.19,21.74,19.56,53.25,7.07,51.0,lentil,25.88
24.26,28.43,32.32,29.78,45.81,5.81,104.92,mango,65.05
92.95,71.39,38.92,28.76,83.95,4.96,101.1,banana,194.85
105.4,89.58,55.29,25.17,86.15,6.06,123.84,banana,221.05
73.91,43.42,34.81,23.7,78.99,6.93,212.57,jute,48.49
22.32,124.35,197.84,20.0,77.08,5.89,67.26,grapes,100.8
47.93,58.19,50.65,33.52,98.79,6.06,161.62,papaya,143.15
24.45,134.64,192.27,22.34,94.3,5.71,93.53,apple,65.03
20.66,119.62,205.0,20.61,83.4,5.65,70.21,grapes,101.09
106.84,49.2,56.41,27.99,84.98,6.09,40.34,watermelon,136.07
112.15,49.6,21.55,24.84,78.45,6.85,68.67,cotton,41.49
19.81,70.03,22.09,22.68,20.75,5.79,110.39,kidneybeans,34.82
89.87,54.81,57.02,26.87,84.4,5.31,41.55,watermelon,135.41
14.99,61.87,20.42,28.76,44.05,5.93,163.68,pigeonpeas,26.37
18.41,64.57,16.72,25.23,66.93,7.25,57.24,lentil,26.28
96.42,16.37,47.83,27.76,87.63,5.8,30.19,muskmelon,97.17
103.73,79.68,57.14,28.91,82.93,5.97,90.91,banana,216.71
13.56,75.7,17.82,24.29,59.24,7.0,49.51,lentil,27.52
21.47,129.14,205.0,21.55,90.18,6.16,118.15,apple,68.16
17.65,72.11,20.05,20.77,18.57,5.63,110.11,kidneybeans,31.79
15.9,28.93,32.08,31.13,50.9,5.94,95.28,mango,67.15
79.12,35.88,18.72,21.8,66.97,6.52,90.03,maize,72.27
23.79,12.75,9.49,22.97,87.84,6.66,114.96,orange,61.8
21.55,23.99,30.89,32.14,41.16,5.89,71.25,mango,71.76
19.0,14.48,20.25,29.03,95.31,6.1,171.38,coconut,75.37
84.49,48.89,39.39,23.51,80.06,6.22,231.19,rice,56.46
20.34,18.5,10.91,24.3,91.46,6.75,86.71,orange,59.76
104.77,27.35,30.49,25.18,53.11,7.14,156.06,coffee,23.99
113.77,38.87,19.34,20.05,78.81,6.91,65.86,cotton,40.44
17.86,56.36,18.87,27.25,38.57,6.62,157.87,pigeonpeas,25.22
45.38,65.22,20.14,30.25,60.52,6.62,66.16,blackgram,26.12
114.67,9.83,56.49,30.59,90.59,6.41,23.61,muskmelon,99.17
22.06,47.33,19.49,30.07,88.75,6.02,42.2,mungbean,26.47
91.74,33.9,25.14,22.43,57.38,7.14,170.89,coffee,22.69
85.19,48.17,33.92,22.97,80.41,6.54,287.47,rice,51.37
101.45,14.08,43.96,30.79,92.54,6.35,25.1,muskmelon,107.09
40.52,70.54,44.23,35.63,89.84,6.78,115.24,papaya,135.23
40.08,58.74,51.37,29.42,93.51,6.99,135.97,papaya,132.71
19.58,44.09,17.56,27.19,88.27,6.48,44.67,mungbean,24.62
21.81,128.34,200.46,22.11,88.39,5.33,72.46,grapes,119.64
16.83,24.95,30.32,26.03,50.65,5.59,95.79,mango,72.59
21.3,47.46,23.11,24.29,78.69,5.8,48.84,mungbean,23.58
34.25,65.7,79.46,19.5,17.11,7.61,66.52,chickpea,30.6
78.98,55.89,17.93,22.99,69.47,6.28,110.98,maize,60.49
21.29,32.0,28.79,30.87,37.39,5.95,110.54,mango,63.65
21.14,18.94,41.84,22.64,92.17,6.24,87.14,pomegranate,29.65
18.87,19.67,26.79,27.04,95.71,5.98,196.43,coconut,82.44
21.59,30.5,26.21,34.07,46.2,6.05,109.91,mango,67.16
77.83,45.77,22.99,20.49,71.07,6.74,75.58,maize,68.93
21.1,17.32,36.53,30.97,98.61,6.98,188.95,coconut,78.38
19.84,47.75,21.82,29.17,53.01,6.47,47.14,mothbeans,22.48
116.97,80.61,48.9,25.35,77.8,5.65,113.32,banana,205.74
21.49,17.7,37.26,27.22,97.85,6.2,193.72,coconut,90.55
73.55,51.57,38.06,23.49,85.54,6.44,245.62,rice,52.64
22.09,68.29,21.25,30.26,49.23,5.09,151.74,pigeonpeas,25.33
104.49,31.63,31.87,27.0,54.41,7.55,153.43,coffee,21.9
44.75,59.71,80.68,19.03,14.0,7.91,77.62,chickpea,28.25
20.51,12.44,27.5,25.27,96.95,5.78,204.09,coconut,81.81
22.34,61.54,21.33,23.34,41.29,5.32,166.73,pigeonpeas,24.62
53.02,57.53,47.69,30.34,90.32,6.33,158.18,papaya,129.62
102.25,15.64,48.37,28.37,94.53,6.32,24.67,muskmelon,105.55
18.43,52.81,20.87,25.74,88.62,7.34,50.0,mungbean,23.36
90.11,47.27,40.87,21.65,75.88,5.74,266.59,rice,50.5
91.41,26.68,29.25,25.62,50.68,6.57,154.6,coffee,22.09
36.24,63.16,15.66,30.29,77.46,6.8,67.13,blackgram,25.54
15.79,18.38,41.9,24.83,88.46,6.63,103.31,pomegranate,32.09
25.03,121.83,202.73,21.91,93.6,5.4,125.46,apple,54.32
95.34,42.95,48.96,24.22,87.37,6.36,59.6,watermelon,136.96
39.28,64.32,77.39,14.4,19.32,7.6,68.3,chickpea,29.63
97.86,68.5,53.39,28.11,84.8,6.62,61.17,watermelon,147.11
106.22,82.84,35.28,29.49,74.7,6.15,114.97,banana,181.36
98.66,23.04,29.8,24.73,61.26,7.08,163.07,coffee,22.76
100.72,30.91,24.48,23.6,54.25,7.21,176.02,coffee,22.45
21.72,69.1,24.21,22.02,25.99,5.65,107.29,kidneybeans,29.21
23.25,48.05,22.99,28.61,58.94,6.47,62.86,mothbeans,21.81
95.78,49.94,46.6,21.15,85.86,6.72,44.79,watermelon,121.14
39.25,66.87,19.89,28.86,59.43,6.86,62.48,blackgram,25.51
97.39,72.82,55.28,29.06,78.85,6.41,91.65,banana,174.76
120.62,49.97,19.06,22.48,83.32,6.64,72.72,cotton,39.98
24.14,60.71,19.35,20.93,14.93,5.51,106.88,kidneybeans,27.97
90.28,44.54,15.27,19.12,61.15,6.47,92.04,maize,68.72
103.6,16.26,46.15,30.2,89.59,6.1,20.0,muskmelon,109.02
16.64,16.69,9.12,21.08,87.29,6.77,101.24,orange,67.03
20.62,23.18,38.71,20.28,85.88,7.54,117.32,pomegranate,30.09
75.15,53.59,17.99,24.02,58.95,4.7,63.87,maize,67.16
104.05,16.54,50.17,27.92,90.9,6.63,28.23,muskmelon,97.02
23.55,132.82,191.93,19.56,86.44,6.18,48.39,grapes,110.31
52.48,55.56,56.91,33.85,90.23,6.82,133.33,papaya,150.37
107.96,16.62,46.79,30.02,93.99,7.2,20.95,muskmelon,106.42
15.8,12.19,10.83,24.3,93.62,7.4,110.36,orange,66.43
104.62,13.07,51.24,25.21,89.25,6.52,32.84,muskmelon,99.26
73.3,40.51,38.74,25.66,88.92,6.85,144.64,jute,44.5
21.22,133.19,201.16,26.18,75.54,4.91,76.64,grapes,97.04
67.9,49.83,38.67,19.16,84.78,6.46,193.7,jute,44.87
83.38,42.22,41.41,24.54,81.65,7.05,149.83,jute,48.54
103.12,28.52,30.9,25.79,62.23,6.77,130.65,coffee,23.86
124.49,45.89,18.98,25.01,75.41,7.54,58.43,cotton,38.18
15.2,18.05,33.94,19.53,95.74,6.58,103.69,pomegranate,31.74
119.92,42.89,16.59,23.72,75.13,7.26,83.07,cotton,40.49
20.88,60.11,18.89,20.48,18.64,5.73,118.91,kidneybeans,30.43
20.84,13.41,13.48,21.77,88.5,6.78,111.75,orange,61.32
112.01,27.63,29.11,27.42,65.29,7.14,166.42,coffee,23.17
22.58,63.87,20.95,19.3,19.0,5.32,108.72,kidneybeans,33.76
25.57,136.34,205.0,24.94,85.79,5.56,68.99,grapes,106.72
23.79,120.32,194.53,27.04,79.96,5.65,64.21,grapes,99.97
41.81,72.81,79.56,17.31,16.61,7.4,57.36,chickpea,28.99
15.95,33.72,34.04,33.1,41.64,5.72,93.7,mango,76.44
17.23,17.89,36.91,20.14,85.61,7.58,115.44,pomegranate,24.27
42.41,70.1,50.74,38.47,89.65,6.99,146.31,papaya,147.42
16.63,69.74,19.4,21.0,27.96,5.41,89.55,kidneybeans,31.2
103.17,27.97,28.19,23.98,57.63,7.08,156.57,coffee,22.61
18.55,14.14,38.31,23.35,89.98,6.78,93.13,pomegranate,29.28
18.57,45.73,19.08,28.55,91.26,6.68,48.71,mungbean,24.18
51.31,59.2,53.37,33.36,91.84,6.28,144.01,papaya,124.03
23.22,67.19,17.91,19.59,18.45,4.94,89.77,kidneybeans,29.03
21.57,46.81,20.87,26.95,57.25,7.24,45.87,mothbeans,21.26
18.08,13.17,33.61,26.3,97.9,6.24,165.01,coconut,82.61
16.35,73.6,17.04,23.0,68.75,6.09,53.96,lentil,27.51
23.9,17.06,37.76,20.94,89.14,6.54,122.43,pomegranate,30.09
21.14,32.05,30.57,26.62,51.43,5.62,98.51,mango,75.49
18.99,66.47,25.59,24.57,54.47,7.37,51.12,lentil,25.35
41.44,67.15,16.55,29.48,58.32,7.74,55.91,blackgram,26.21
96.61,78.97,40.6,27.86,76.46,6.11,111.75,banana,206.27
100.57,50.66,45.75,26.83,89.33,6.58,50.74,watermelon,116.91
99.55,74.39,45.11,25.3,81.04,6.09,103.0,banana,192.23
99.37,63.67,46.67,26.23,87.05,6.29,54.46,watermelon,117.65
16.61,13.5,9.32,18.69,91.64,6.94,112.97,orange,75.18
85.9,45.21,20.11,22.61,65.22,5.53,109.67,maize,76.59
13.78,66.7,16.22,21.74,74.03,7.74,32.8,lentil,27.67
111.98,86.91,42.2,30.82,73.18,5.56,126.03,banana,204.95
24.46,69.67,22.56,19.1,18.95,6.4,94.72,kidneybeans,28.23
49.43,56.3,50.1,33.67,93.68,5.95,122.85,papaya,153.91
17.44,48.15,20.25,27.6,90.13,6.34,49.66,mungbean,26.87
23.91,20.01,33.9,26.5,94.73,5.88,157.18,coconut,78.09
124.92,42.54,17.84,18.38,81.4,6.94,69.76,cotton,41.62
21.75,17.25,38.65,22.33,93.98,6.58,108.7,pomegranate,30.74
42.22,62.15,54.78,35.65,97.71,5.81,147.92,papaya,135.74
77.75,41.6,25.05,21.4,63.1,6.08,92.95,maize,67.64
121.34,44.04,20.26,22.79,77.47,7.45,66.38,cotton,37.83
20.28,136.42,195.29,25.75,91.6,5.74,114.87,apple,60.51
24.26,128.34,194.31,23.51,76.58,5.93,69.49,grapes,108.82
113.23,29.43,31.47,26.24,61.39,6.83,163.0,coffee,24.33
104.34,31.25,29.86,26.59,52.41,6.39,162.88,coffee,22.34
93.81,55.15,47.47,24.09,87.59,6.82,63.84,watermelon,110.18
77.53,44.48,39.44,22.19,83.58,6.12,184.89,jute,44.15
47.07,61.82,23.33,28.83,67.23,6.59,69.26,blackgram,27.2
15.03,26.31,27.64,33.14,46.17,5.86,98.11,mango,77.84
111.16,42.83,15.71,21.31,82.92,7.38,92.33,cotton,36.76
76.22,39.32,42.28,22.67,84.13,6.51,249.09,rice,53.98
14.57,13.02,9.96,23.57,91.3,6.95,112.81,orange,62.37
23.88,127.19,188.81,21.46,87.02,6.75,61.49,grapes,106.46
36.5,66.02,14.86,30.06,66.71,7.39,64.14,blackgram,23.61
20.25,45.21,16.9,27.45,82.86,6.49,56.71,mungbean,26.23
98.44,61.83,51.47,21.96,83.64,6.49,51.61,watermelon,129.83
76.59,47.67,16.93,22.66,76.05,6.3,81.68,maize,63.05
20.71,67.11,16.99,21.02,60.75,7.28,35.34,lentil,23.63
19.87,65.43,24.23,22.96,15.38,5.67,118.85,kidneybeans,31.8
18.43,145.0,196.64,19.45,75.47,5.47,69.09,grapes,100.63
68.65,46.23,38.74,24.96,83.0,6.17,284.92,rice,53.75
24.92,19.27,11.05,21.84,93.84,6.93,106.31,orange,64.87
52.77,66.55,73.65,16.91,15.22,7.09,75.66,chickpea,30.5
20.92,122.04,196.46,21.56,78.83,5.79,57.96,grapes,102.25
89.07,19.27,44.49,26.11,83.6,6.84,23.25,muskmelon,109.79
23.23,116.34,205.0,19.7,91.41,6.1,129.31,apple,58.81
14.38,67.89,16.84,19.75,64.94,6.98,47.65,lentil,24.71
19.56,47.03,25.57,25.75,54.31,6.73,60.17,mothbeans,24.71
19.23,41.74,20.38,26.07,58.38,7.42,61.18,mothbeans,19.96
81.24,46.59,19.76,22.88,64.51,6.09,109.07,maize,64.02
41.13,68.6,76.16,16.72,14.19,7.13,67.02,chickpea,30.62
19.01,15.25,38.17,21.68,94.41,6.51,131.03,pomegranate,27.98
94.35,58.68,53.42,26.71,83.66,5.98,46.22,watermelon,122.69
16.7,9.31,10.66,23.88,93.88,7.17,110.68,orange,66.74
22.18,48.97,19.83,26.88,60.48,6.81,49.16,mothbeans,22.82
73.84,49.71,19.92,20.62,73.36,5.73,94.04,maize,71.72
22.16,78.6,18.4,22.57,53.47,5.76,131.24,pigeonpeas,26.63
17.39,16.63,35.46,21.35,86.79,6.57,101.07,pomegranate,27.6
20.4,62.18,13.68,25.72,48.25,5.31,152.65,pigeonpeas,27.93
25.03,133.15,198.44,23.45,83.55,5.56,78.94,grapes,94.14
21.58,45.01,16.73,24.65,54.48,6.51,55.99,mothbeans,21.35
19.96,73.19,16.95,21.19,21.57,6.31,83.18,kidneybeans,30.66
19.83,55.25,19.8,28.59,46.03,6.67,57.89,mothbeans,21.88
76.78,40.59,41.37,24.29,84.54,6.61,168.89,jute,49.81
21.04,128.48,193.95,20.5,91.13,6.11,114.64,apple,64.06
108.18,49.69,20.41,22.29,79.22,7.27,90.33,cotton,38.96
14.59,66.26,11.86,25.14,74.96,7.0,60.34,lentil,26.29
111.54,29.28,30.74,24.53,62.11,7.31,160.53,coffee,22.78
100.81,81.77,53.06,24.15,88.21,6.32,87.94,banana,200.06
24.12,122.68,205.0,26.6,80.13,6.2,62.54,grapes,91.06
19.77,44.38,22.23,29.59,90.96,6.62,33.26,mungbean,25.53
50.84,55.28,45.6,31.86,97.5,7.34,160.36,papaya,132.87
72.39,51.25,23.24,21.7,62.09,6.22,87.17,maize,75.06
90.66,32.34,32.62,24.65,64.53,6.68,164.73,coffee,22.73
97.92,59.5,44.62,24.44,86.08,6.6,55.93,watermelon,133.25
22.27,62.48,19.77,22.01,50.76,6.48,153.04,pigeonpeas,25.73
42.45,63.75,22.28,26.66,61.41,6.96,62.14,blackgram,24.0
19.26,47.85,18.46,29.04,87.52,6.6,54.16,mungbean,23.81
47.76,63.24,76.78,20.14,15.7,7.04,78.23,chickpea,28.15
21.28,62.31,21.71,25.75,45.4,6.38,125.0,pigeonpeas,25.85
75.82,43.61,41.12,24.43,87.06,6.73,250.22,rice,53.52
110.67,26.46,29.6,21.48,57.69,7.7,137.02,coffee,22.24
